scRNASeq_sample_ID,CellType,CellType_Count,TotalPBMC_Count,Percentage
G05077-Ja005E-PBCa,B,306,5385,5.682
G05077-Ja005E-PBCa,ERYTH,1,5385,0.019
G05077-Ja005E-PBCa,HSC,10,5385,0.186
G05077-Ja005E-PBCa,MNP,1236,5385,22.953
G05077-Ja005E-PBCa,MNP|PLT,22,5385,0.409
G05077-Ja005E-PBCa,NK,1227,5385,22.786
G05077-Ja005E-PBCa,PB,58,5385,1.077
G05077-Ja005E-PBCa,PLT,4,5385,0.074
G05077-Ja005E-PBCa,T,2521,5385,46.815
G05078-Ja005E-PBCa,B,125,9452,1.322
G05078-Ja005E-PBCa,ERYTH,0,9452,0
G05078-Ja005E-PBCa,HSC,22,9452,0.233
G05078-Ja005E-PBCa,MNP,2511,9452,26.566
G05078-Ja005E-PBCa,MNP|PLT,21,9452,0.222
G05078-Ja005E-PBCa,NK,1007,9452,10.654
G05078-Ja005E-PBCa,PB,14,9452,0.148
G05078-Ja005E-PBCa,PLT,2,9452,0.021
G05078-Ja005E-PBCa,T,5750,9452,60.834
G05097-Ja005E-PBCa,B,658,8125,8.098
G05097-Ja005E-PBCa,ERYTH,1,8125,0.012
G05097-Ja005E-PBCa,HSC,10,8125,0.123
G05097-Ja005E-PBCa,MNP,2065,8125,25.415
G05097-Ja005E-PBCa,MNP|PLT,46,8125,0.566
G05097-Ja005E-PBCa,NK,568,8125,6.991
G05097-Ja005E-PBCa,PB,30,8125,0.369
G05097-Ja005E-PBCa,PLT,0,8125,0
G05097-Ja005E-PBCa,T,4747,8125,58.425
G05105-Ja005E-PBCa,B,297,6061,4.9
G05105-Ja005E-PBCa,ERYTH,0,6061,0
G05105-Ja005E-PBCa,HSC,11,6061,0.181
G05105-Ja005E-PBCa,MNP,1746,6061,28.807
G05105-Ja005E-PBCa,MNP|PLT,21,6061,0.346
G05105-Ja005E-PBCa,NK,347,6061,5.725
G05105-Ja005E-PBCa,PB,22,6061,0.363
G05105-Ja005E-PBCa,PLT,0,6061,0
G05105-Ja005E-PBCa,T,3617,6061,59.677
G05112-Ja005E-PBCa,B,492,4436,11.091
G05112-Ja005E-PBCa,ERYTH,0,4436,0
G05112-Ja005E-PBCa,HSC,0,4436,0
G05112-Ja005E-PBCa,MNP,1551,4436,34.964
G05112-Ja005E-PBCa,MNP|PLT,8,4436,0.18
G05112-Ja005E-PBCa,NK,144,4436,3.246
G05112-Ja005E-PBCa,PB,21,4436,0.473
G05112-Ja005E-PBCa,PLT,0,4436,0
G05112-Ja005E-PBCa,T,2220,4436,50.045
G05145-Ja005E-PBCa,B,411,5945,6.913
G05145-Ja005E-PBCa,ERYTH,0,5945,0
G05145-Ja005E-PBCa,HSC,6,5945,0.101
G05145-Ja005E-PBCa,MNP,1516,5945,25.5
G05145-Ja005E-PBCa,MNP|PLT,12,5945,0.202
G05145-Ja005E-PBCa,NK,423,5945,7.115
G05145-Ja005E-PBCa,PB,28,5945,0.471
G05145-Ja005E-PBCa,PLT,2,5945,0.034
G05145-Ja005E-PBCa,T,3547,5945,59.664
G05153-Ja005E-PBCa,B,284,8160,3.48
G05153-Ja005E-PBCa,ERYTH,0,8160,0
G05153-Ja005E-PBCa,HSC,8,8160,0.098
G05153-Ja005E-PBCa,MNP,1848,8160,22.647
G05153-Ja005E-PBCa,MNP|PLT,43,8160,0.527
G05153-Ja005E-PBCa,NK,392,8160,4.804
G05153-Ja005E-PBCa,PB,30,8160,0.368
G05153-Ja005E-PBCa,PLT,0,8160,0
G05153-Ja005E-PBCa,T,5555,8160,68.076
G05164-Ja005E-PBCa,B,175,6673,2.623
G05164-Ja005E-PBCa,ERYTH,0,6673,0
G05164-Ja005E-PBCa,HSC,8,6673,0.12
G05164-Ja005E-PBCa,MNP,1357,6673,20.336
G05164-Ja005E-PBCa,MNP|PLT,31,6673,0.465
G05164-Ja005E-PBCa,NK,877,6673,13.143
G05164-Ja005E-PBCa,PB,18,6673,0.27
G05164-Ja005E-PBCa,PLT,0,6673,0
G05164-Ja005E-PBCa,T,4207,6673,63.045
G05171-Ja005E-PBCa,B,395,6991,5.65
G05171-Ja005E-PBCa,ERYTH,0,6991,0
G05171-Ja005E-PBCa,HSC,10,6991,0.143
G05171-Ja005E-PBCa,MNP,1095,6991,15.663
G05171-Ja005E-PBCa,MNP|PLT,22,6991,0.315
G05171-Ja005E-PBCa,NK,798,6991,11.415
G05171-Ja005E-PBCa,PB,25,6991,0.358
G05171-Ja005E-PBCa,PLT,0,6991,0
G05171-Ja005E-PBCa,T,4646,6991,66.457
H00049-Ha001E-PBGa,B,347,8706,3.986
H00049-Ha001E-PBGa,ERYTH,0,8706,0
H00049-Ha001E-PBGa,HSC,17,8706,0.195
H00049-Ha001E-PBGa,MNP,1914,8706,21.985
H00049-Ha001E-PBGa,MNP|PLT,17,8706,0.195
H00049-Ha001E-PBGa,NK,1387,8706,15.932
H00049-Ha001E-PBGa,PB,13,8706,0.149
H00049-Ha001E-PBGa,PLT,0,8706,0
H00049-Ha001E-PBGa,T,5011,8706,57.558
H00052-Ha001E-PBGa,B,160,7551,2.119
H00052-Ha001E-PBGa,ERYTH,0,7551,0
H00052-Ha001E-PBGa,HSC,15,7551,0.199
H00052-Ha001E-PBGa,MNP,1838,7551,24.341
H00052-Ha001E-PBGa,MNP|PLT,17,7551,0.225
H00052-Ha001E-PBGa,NK,1869,7551,24.752
H00052-Ha001E-PBGa,PB,18,7551,0.238
H00052-Ha001E-PBGa,PLT,0,7551,0
H00052-Ha001E-PBGa,T,3634,7551,48.126
H00053-Ha001E-PBGa,B,282,10494,2.687
H00053-Ha001E-PBGa,ERYTH,0,10494,0
H00053-Ha001E-PBGa,HSC,21,10494,0.2
H00053-Ha001E-PBGa,MNP,1944,10494,18.525
H00053-Ha001E-PBGa,MNP|PLT,43,10494,0.41
H00053-Ha001E-PBGa,NK,1992,10494,18.982
H00053-Ha001E-PBGa,PB,18,10494,0.172
H00053-Ha001E-PBGa,PLT,3,10494,0.029
H00053-Ha001E-PBGa,T,6191,10494,58.996
H00054-Ha001E-PBGa,B,493,11038,4.466
H00054-Ha001E-PBGa,ERYTH,0,11038,0
H00054-Ha001E-PBGa,HSC,8,11038,0.072
H00054-Ha001E-PBGa,MNP,2880,11038,26.092
H00054-Ha001E-PBGa,MNP|PLT,131,11038,1.187
H00054-Ha001E-PBGa,NK,1798,11038,16.289
H00054-Ha001E-PBGa,PB,18,11038,0.163
H00054-Ha001E-PBGa,PLT,6,11038,0.054
H00054-Ha001E-PBGa,T,5704,11038,51.676
H00058-Ha001E-PBGa,B,450,8442,5.33
H00058-Ha001E-PBGa,ERYTH,0,8442,0
H00058-Ha001E-PBGa,HSC,5,8442,0.059
H00058-Ha001E-PBGa,MNP,1722,8442,20.398
H00058-Ha001E-PBGa,MNP|PLT,37,8442,0.438
H00058-Ha001E-PBGa,NK,872,8442,10.329
H00058-Ha001E-PBGa,PB,29,8442,0.344
H00058-Ha001E-PBGa,PLT,2,8442,0.024
H00058-Ha001E-PBGa,T,5325,8442,63.077
H00064-Ha001E-PBGa,B,217,7562,2.87
H00064-Ha001E-PBGa,ERYTH,1,7562,0.013
H00064-Ha001E-PBGa,HSC,5,7562,0.066
H00064-Ha001E-PBGa,MNP,2174,7562,28.749
H00064-Ha001E-PBGa,MNP|PLT,47,7562,0.622
H00064-Ha001E-PBGa,NK,788,7562,10.421
H00064-Ha001E-PBGa,PB,27,7562,0.357
H00064-Ha001E-PBGa,PLT,3,7562,0.04
H00064-Ha001E-PBGa,T,4300,7562,56.863
H00067-Ha001E-PBGa,B,493,10833,4.551
H00067-Ha001E-PBGa,ERYTH,0,10833,0
H00067-Ha001E-PBGa,HSC,8,10833,0.074
H00067-Ha001E-PBGa,MNP,2597,10833,23.973
H00067-Ha001E-PBGa,MNP|PLT,62,10833,0.572
H00067-Ha001E-PBGa,NK,594,10833,5.483
H00067-Ha001E-PBGa,PB,28,10833,0.258
H00067-Ha001E-PBGa,PLT,2,10833,0.018
H00067-Ha001E-PBGa,T,7049,10833,65.07
H00070-Ha001E-PBGa,B,172,8055,2.135
H00070-Ha001E-PBGa,ERYTH,0,8055,0
H00070-Ha001E-PBGa,HSC,9,8055,0.112
H00070-Ha001E-PBGa,MNP,2510,8055,31.161
H00070-Ha001E-PBGa,MNP|PLT,25,8055,0.31
H00070-Ha001E-PBGa,NK,790,8055,9.808
H00070-Ha001E-PBGa,PB,12,8055,0.149
H00070-Ha001E-PBGa,PLT,0,8055,0
H00070-Ha001E-PBGa,T,4537,8055,56.325
H00072-Ha001E-PBGa,B,306,9133,3.35
H00072-Ha001E-PBGa,ERYTH,1,9133,0.011
H00072-Ha001E-PBGa,HSC,7,9133,0.077
H00072-Ha001E-PBGa,MNP,2571,9133,28.151
H00072-Ha001E-PBGa,MNP|PLT,63,9133,0.69
H00072-Ha001E-PBGa,NK,1134,9133,12.417
H00072-Ha001E-PBGa,PB,24,9133,0.263
H00072-Ha001E-PBGa,PLT,7,9133,0.077
H00072-Ha001E-PBGa,T,5020,9133,54.966
H00085-Ha001E-PBGa,B,300,5748,5.219
H00085-Ha001E-PBGa,ERYTH,1,5748,0.017
H00085-Ha001E-PBGa,HSC,2,5748,0.035
H00085-Ha001E-PBGa,MNP,759,5748,13.205
H00085-Ha001E-PBGa,MNP|PLT,12,5748,0.209
H00085-Ha001E-PBGa,NK,593,5748,10.317
H00085-Ha001E-PBGa,PB,10,5748,0.174
H00085-Ha001E-PBGa,PLT,0,5748,0
H00085-Ha001E-PBGa,T,4071,5748,70.825
N00006-Ja003E-PBGa,B,70,6044,1.158
N00006-Ja003E-PBGa,ERYTH,1,6044,0.017
N00006-Ja003E-PBGa,HSC,7,6044,0.116
N00006-Ja003E-PBGa,MNP,1607,6044,26.588
N00006-Ja003E-PBGa,MNP|PLT,76,6044,1.257
N00006-Ja003E-PBGa,NK,404,6044,6.684
N00006-Ja003E-PBGa,PB,23,6044,0.381
N00006-Ja003E-PBGa,PLT,7,6044,0.116
N00006-Ja003E-PBGa,T,3849,6044,63.683
N00007-Ja003E-PBGa,B,540,6092,8.864
N00007-Ja003E-PBGa,ERYTH,42,6092,0.689
N00007-Ja003E-PBGa,HSC,74,6092,1.215
N00007-Ja003E-PBGa,MNP,1896,6092,31.123
N00007-Ja003E-PBGa,MNP|PLT,21,6092,0.345
N00007-Ja003E-PBGa,NK,534,6092,8.766
N00007-Ja003E-PBGa,PB,33,6092,0.542
N00007-Ja003E-PBGa,PLT,7,6092,0.115
N00007-Ja003E-PBGa,T,2945,6092,48.342
N00012-Ja003E-PBGa,B,60,3220,1.863
N00012-Ja003E-PBGa,ERYTH,3,3220,0.093
N00012-Ja003E-PBGa,HSC,10,3220,0.311
N00012-Ja003E-PBGa,MNP,1184,3220,36.77
N00012-Ja003E-PBGa,MNP|PLT,17,3220,0.528
N00012-Ja003E-PBGa,NK,62,3220,1.925
N00012-Ja003E-PBGa,PB,38,3220,1.18
N00012-Ja003E-PBGa,PLT,15,3220,0.466
N00012-Ja003E-PBGa,T,1831,3220,56.863
N00017-Ja003E-PBGa,B,89,2158,4.124
N00017-Ja003E-PBGa,ERYTH,20,2158,0.927
N00017-Ja003E-PBGa,HSC,48,2158,2.224
N00017-Ja003E-PBGa,MNP,1413,2158,65.477
N00017-Ja003E-PBGa,MNP|PLT,3,2158,0.139
N00017-Ja003E-PBGa,NK,99,2158,4.588
N00017-Ja003E-PBGa,PB,59,2158,2.734
N00017-Ja003E-PBGa,PLT,48,2158,2.224
N00017-Ja003E-PBGa,T,379,2158,17.563
N00021-Ja001E-PBGa,B,789,6924,11.395
N00021-Ja001E-PBGa,ERYTH,3,6924,0.043
N00021-Ja001E-PBGa,HSC,24,6924,0.347
N00021-Ja001E-PBGa,MNP,1311,6924,18.934
N00021-Ja001E-PBGa,MNP|PLT,37,6924,0.534
N00021-Ja001E-PBGa,NK,473,6924,6.831
N00021-Ja001E-PBGa,PB,18,6924,0.26
N00021-Ja001E-PBGa,PLT,0,6924,0
N00021-Ja001E-PBGa,T,4269,6924,61.655
N00024-Ja001E-PBGa,B,99,9869,1.003
N00024-Ja001E-PBGa,ERYTH,0,9869,0
N00024-Ja001E-PBGa,HSC,40,9869,0.405
N00024-Ja001E-PBGa,MNP,3872,9869,39.234
N00024-Ja001E-PBGa,MNP|PLT,43,9869,0.436
N00024-Ja001E-PBGa,NK,138,9869,1.398
N00024-Ja001E-PBGa,PB,4,9869,0.041
N00024-Ja001E-PBGa,PLT,3,9869,0.03
N00024-Ja001E-PBGa,T,5670,9869,57.453
N00025-Ja001E-PBGa,B,38,3769,1.008
N00025-Ja001E-PBGa,ERYTH,1,3769,0.027
N00025-Ja001E-PBGa,HSC,11,3769,0.292
N00025-Ja001E-PBGa,MNP,1808,3769,47.97
N00025-Ja001E-PBGa,MNP|PLT,34,3769,0.902
N00025-Ja001E-PBGa,NK,1173,3769,31.122
N00025-Ja001E-PBGa,PB,4,3769,0.106
N00025-Ja001E-PBGa,PLT,12,3769,0.318
N00025-Ja001E-PBGa,T,688,3769,18.254
N00028-Ja001E-PBGa,B,691,7762,8.902
N00028-Ja001E-PBGa,ERYTH,1,7762,0.013
N00028-Ja001E-PBGa,HSC,15,7762,0.193
N00028-Ja001E-PBGa,MNP,3762,7762,48.467
N00028-Ja001E-PBGa,MNP|PLT,32,7762,0.412
N00028-Ja001E-PBGa,NK,448,7762,5.772
N00028-Ja001E-PBGa,PB,28,7762,0.361
N00028-Ja001E-PBGa,PLT,8,7762,0.103
N00028-Ja001E-PBGa,T,2777,7762,35.777
N00032-Ja001E-PBGa,B,1085,10386,10.447
N00032-Ja001E-PBGa,ERYTH,1,10386,0.01
N00032-Ja001E-PBGa,HSC,3,10386,0.029
N00032-Ja001E-PBGa,MNP,3871,10386,37.271
N00032-Ja001E-PBGa,MNP|PLT,41,10386,0.395
N00032-Ja001E-PBGa,NK,323,10386,3.11
N00032-Ja001E-PBGa,PB,35,10386,0.337
N00032-Ja001E-PBGa,PLT,9,10386,0.087
N00032-Ja001E-PBGa,T,5018,10386,48.315
N00033-Ja001E-PBGa,B,325,9579,3.393
N00033-Ja001E-PBGa,ERYTH,1,9579,0.01
N00033-Ja001E-PBGa,HSC,6,9579,0.063
N00033-Ja001E-PBGa,MNP,5516,9579,57.584
N00033-Ja001E-PBGa,MNP|PLT,80,9579,0.835
N00033-Ja001E-PBGa,NK,323,9579,3.372
N00033-Ja001E-PBGa,PB,12,9579,0.125
N00033-Ja001E-PBGa,PLT,2,9579,0.021
N00033-Ja001E-PBGa,T,3314,9579,34.597
N00038-Ja001E-PBGa,B,114,7277,1.567
N00038-Ja001E-PBGa,ERYTH,0,7277,0
N00038-Ja001E-PBGa,HSC,11,7277,0.151
N00038-Ja001E-PBGa,MNP,1908,7277,26.22
N00038-Ja001E-PBGa,MNP|PLT,9,7277,0.124
N00038-Ja001E-PBGa,NK,727,7277,9.99
N00038-Ja001E-PBGa,PB,7,7277,0.096
N00038-Ja001E-PBGa,PLT,72,7277,0.989
N00038-Ja001E-PBGa,T,4429,7277,60.863
N00040-Ja001E-PBGa,B,0,6182,0
N00040-Ja001E-PBGa,ERYTH,2,6182,0.032
N00040-Ja001E-PBGa,HSC,21,6182,0.34
N00040-Ja001E-PBGa,MNP,5361,6182,86.72
N00040-Ja001E-PBGa,MNP|PLT,141,6182,2.281
N00040-Ja001E-PBGa,NK,112,6182,1.812
N00040-Ja001E-PBGa,PB,2,6182,0.032
N00040-Ja001E-PBGa,PLT,0,6182,0
N00040-Ja001E-PBGa,T,543,6182,8.784
N00047-Ja005E-PBGa,B,10,4105,0.244
N00047-Ja005E-PBGa,ERYTH,2,4105,0.049
N00047-Ja005E-PBGa,HSC,65,4105,1.583
N00047-Ja005E-PBGa,MNP,1986,4105,48.38
N00047-Ja005E-PBGa,MNP|PLT,28,4105,0.682
N00047-Ja005E-PBGa,NK,148,4105,3.605
N00047-Ja005E-PBGa,PB,66,4105,1.608
N00047-Ja005E-PBGa,PLT,8,4105,0.195
N00047-Ja005E-PBGa,T,1792,4105,43.654
N00049-Ja005E-PBGa,B,53,3700,1.432
N00049-Ja005E-PBGa,ERYTH,2,3700,0.054
N00049-Ja005E-PBGa,HSC,5,3700,0.135
N00049-Ja005E-PBGa,MNP,1189,3700,32.135
N00049-Ja005E-PBGa,MNP|PLT,24,3700,0.649
N00049-Ja005E-PBGa,NK,714,3700,19.297
N00049-Ja005E-PBGa,PB,11,3700,0.297
N00049-Ja005E-PBGa,PLT,10,3700,0.27
N00049-Ja005E-PBGa,T,1692,3700,45.73
N00050-Ja001E-PBGa,B,57,1745,3.266
N00050-Ja001E-PBGa,ERYTH,0,1745,0
N00050-Ja001E-PBGa,HSC,19,1745,1.089
N00050-Ja001E-PBGa,MNP,637,1745,36.504
