scRNASeq_sample_ID,CellType,CellType_Count,TotalPBMC_Count,Percentage
S00065-Ja003E-PBCa,ERYTH,1,3941,0.025
S00065-Ja003E-PBCa,HSC,3,3941,0.076
S00065-Ja003E-PBCa,MNP,1734,3941,43.999
S00065-Ja003E-PBCa,MNP|PLT,24,3941,0.609
S00065-Ja003E-PBCa,NK,126,3941,3.197
S00065-Ja003E-PBCa,PB,17,3941,0.431
S00065-Ja003E-PBCa,PLT,5,3941,0.127
S00065-Ja003E-PBCa,T,1595,3941,40.472
S00067-Ja001E-PBCa,B,456,4800,9.5
S00067-Ja001E-PBCa,ERYTH,0,4800,0
S00067-Ja001E-PBCa,HSC,8,4800,0.167
S00067-Ja001E-PBCa,MNP,1488,4800,31
S00067-Ja001E-PBCa,MNP|PLT,12,4800,0.25
S00067-Ja001E-PBCa,NK,415,4800,8.646
S00067-Ja001E-PBCa,PB,58,4800,1.208
S00067-Ja001E-PBCa,PLT,3,4800,0.062
S00067-Ja001E-PBCa,T,2360,4800,49.167
S00068-Ja005E-PBCa,B,88,3736,2.355
S00068-Ja005E-PBCa,ERYTH,0,3736,0
S00068-Ja005E-PBCa,HSC,20,3736,0.535
S00068-Ja005E-PBCa,MNP,2231,3736,59.716
S00068-Ja005E-PBCa,MNP|PLT,34,3736,0.91
S00068-Ja005E-PBCa,NK,360,3736,9.636
S00068-Ja005E-PBCa,PB,180,3736,4.818
S00068-Ja005E-PBCa,PLT,24,3736,0.642
S00068-Ja005E-PBCa,T,799,3736,21.387
S00069-Ja005E-PBCa,B,252,5885,4.282
S00069-Ja005E-PBCa,ERYTH,0,5885,0
S00069-Ja005E-PBCa,HSC,8,5885,0.136
S00069-Ja005E-PBCa,MNP,3600,5885,61.172
S00069-Ja005E-PBCa,MNP|PLT,69,5885,1.172
S00069-Ja005E-PBCa,NK,227,5885,3.857
S00069-Ja005E-PBCa,PB,35,5885,0.595
S00069-Ja005E-PBCa,PLT,5,5885,0.085
S00069-Ja005E-PBCa,T,1689,5885,28.7
S00076-Ja001E-PBCa,B,417,5816,7.17
S00076-Ja001E-PBCa,ERYTH,0,5816,0
S00076-Ja001E-PBCa,HSC,5,5816,0.086
S00076-Ja001E-PBCa,MNP,2407,5816,41.386
S00076-Ja001E-PBCa,MNP|PLT,41,5816,0.705
S00076-Ja001E-PBCa,NK,516,5816,8.872
S00076-Ja001E-PBCa,PB,14,5816,0.241
S00076-Ja001E-PBCa,PLT,9,5816,0.155
S00076-Ja001E-PBCa,T,2407,5816,41.386
S00077-Ja005E-PBCa,B,90,2854,3.153
S00077-Ja005E-PBCa,ERYTH,0,2854,0
S00077-Ja005E-PBCa,HSC,2,2854,0.07
S00077-Ja005E-PBCa,MNP,863,2854,30.238
S00077-Ja005E-PBCa,MNP|PLT,7,2854,0.245
S00077-Ja005E-PBCa,NK,128,2854,4.485
S00077-Ja005E-PBCa,PB,55,2854,1.927
S00077-Ja005E-PBCa,PLT,10,2854,0.35
S00077-Ja005E-PBCa,T,1699,2854,59.53
S00078-Ja003E-PBCa,B,309,7728,3.998
S00078-Ja003E-PBCa,ERYTH,0,7728,0
S00078-Ja003E-PBCa,HSC,12,7728,0.155
S00078-Ja003E-PBCa,MNP,1753,7728,22.684
S00078-Ja003E-PBCa,MNP|PLT,56,7728,0.725
S00078-Ja003E-PBCa,NK,897,7728,11.607
