symbol	rna_row_1based	rna_feature_id	adt_row_1based	adt_feature_id
ICOS	4995	ENSG00000163600	33665	ICOS
ICOSLG	33407	ENSG00000160223	33633	ICOSLG
IFNGR1	11497	ENSG00000027697	33695	CD119
IGHD	23767	ENSG00000211898	33720	IgD
IGHE	23758	ENSG00000211891	33748	IgE
IGHG1	23765	ENSG00000211896	33740	IgG.Fc
IGHM	23768	ENSG00000211899	33751	IgM
IGKC	4027	ENSG00000211592	33749	IGKC
IGLL1	32417	ENSG00000128322	33750	IGLL1
IL18R1	4231	ENSG00000115604	33699	CD218a
IL2RA	18967	ENSG00000134460	33654	CD25
IL2RB	32686	ENSG00000100385	33803	CD122
IL3RA	13354	ENSG00000185291	33619	CD123
IL4R	25636	ENSG00000077238	33692	CD124
IL6R	1971	ENSG00000160712	33810	CD126
IL6ST	8921	ENSG00000134352	33584	GP130
IL7R	8783	ENSG00000168685	33637	CD127
ITGA1	8889	ENSG00000213949	33801	CD49a
ITGA2	8892	ENSG00000164171	33770	CD49b
ITGA2B	27711	ENSG00000005961	33713	CD41
ITGA4	4830	ENSG00000115232	33634	CD49d
ITGA6	4730	ENSG00000091409	33696	CD49f
ITGAE	26708	ENSG00000083457	33656	CD103
ITGAL	25750	ENSG00000005844	33800	CD11a
ITGAM	25807	ENSG00000169896	33721	CD11b
ITGAX	25808	ENSG00000140678	33785	CD11c
ITGB1	19176	ENSG00000150093	33799	CD29
ITGB2	33448	ENSG00000160255	33797	CD18
ITGB3	27782	ENSG00000259207	33811	CD61
ITGB7	20852	ENSG00000139626	33685	ITGB7
KDR	7584	ENSG00000128052	33624	CD309
KIR3DL1	31864	ENSG00000167633	33680	CD158e1
KIR3DL2	31865	ENSG00000240403	33716	CD158
KIT	7579	ENSG00000157404	33553	CD117
KLRB1	20319	ENSG00000111796	33715	CD161
KLRD1	20343	ENSG00000134539	33678	CD94
KLRF1	20325	ENSG00000150045	33609	NKp80
KLRG1	20311	ENSG00000139187	33790	KLRG1
KLRK1	20347	ENSG00000213809	33573	CD314
L1CAM	14355	ENSG00000198910	33733	CD171
LAG3	20239	ENSG00000089692	33559	CD223
LAIR1	31843	ENSG00000167613	33763	CD305
LAMP1	22525	ENSG00000185896	33700	CD107a
LGALS3	23113	ENSG00000131981	33741	Mac2
LGALS9	27174	ENSG00000168961	33636	Galectin9
LILRA4	31842	ENSG00000239961	33568	CD85g
LILRB1	31857	ENSG00000104972	33694	CD85j
LRRC15	7082	ENSG00000172061	33540	LRRC15
LRRC32	18295	ENSG00000137507	33622	GARP
LTBR	20212	ENSG00000111321	33586	LTBR
LY75	4641	ENSG00000054219	33706	CD205
MCAM	18697	ENSG00000076706	33771	CD146
MERTK	4332	ENSG00000153208	33606	MERTK
MME	6736	ENSG00000196549	33707	CD10
MPL	886	ENSG00000117400	33788	CD110
MRC1	19074	ENSG00000260314	33563	CD206
MS4A1	17796	ENSG00000156738	33585	CD20
MSR1	14593	ENSG00000038945	33623	CD204
NCAM1	18577	ENSG00000149294	33600	CD56
