method,donor,pair,status,deviance,interval_covered,interval_width
original_hierarchy,C-8820,6,SCORED,0.004652426568507286,,
original_hierarchy,C-8820,7,SCORED,0.00032733408764171407,,
original_hierarchy,C-8820,8,SCORED,0.0002817203342509291,,
original_hierarchy,C-8820,9,SCORED,0.019158413711148833,,
original_hierarchy,C-8820,10,SCORED,0.0167979534548127,,
original_hierarchy,C-8820,11,SCORED,0.001318081626273778,,
original_hierarchy,C-8820,12,SCORED,0.006891923292422351,,
original_hierarchy,C-8820,13,SCORED,0.04865407984430285,,
original_hierarchy,C-8820,14,SCORED,0.003210917643609437,,
original_hierarchy,C-8820,15,SCORED,0.014161397841817025,,
original_hierarchy,C-8820,16,SCORED,0.007468282824083287,,
original_hierarchy,C-8820,17,SCORED,0.031117188904608822,,
original_hierarchy,C-8820,18,SCORED,0.03574818837320284,,
original_hierarchy,C-8820,19,SCORED,6.445207347290701e-06,,
original_hierarchy,C-8820,20,SCORED,0.022603376109735063,,
original_hierarchy,C-8820,21,SCORED,0.01679136216439557,,
original_hierarchy,C-8820,22,SCORED,0.021878510261776403,,
original_hierarchy,C-8820,23,SCORED,0.013706285103738475,,
original_hierarchy,C-8820,24,SCORED,0.0292478903445183,,
original_hierarchy,C-8820,25,SCORED,0.00689389660593254,,
original_hierarchy,C-8820,26,SCORED,0.057792113177896856,,
original_hierarchy,C-8820,27,SCORED,0.04333348005971778,,
original_hierarchy,C-8820,28,SCORED,0.01896130147844861,,
original_hierarchy,C-8820,29,SCORED,0.0015847326763810555,,
original_hierarchy,C-8820,30,SCORED,0.00013169645320676437,,
original_hierarchy,C-8820,31,SCORED,0.0019777942521670214,,
original_hierarchy,C-8820,32,SCORED,0.011926234735191828,,
original_hierarchy,C-8820,33,SCORED,0.0006922130281128052,,
original_hierarchy,C-8820,34,SCORED,0.00378702795076857,,
original_hierarchy,C-8820,35,SCORED,0.0123453152220698,,
original_hierarchy,C-8820,36,SCORED,0.01144393521612044,,
original_hierarchy,C-8820,37,SCORED,0.011495719566569624,,
original_hierarchy,C-8820,38,SCORED,8.305895855756774e-05,,
original_hierarchy,C-8820,39,SCORED,0.005621137190076316,,
original_hierarchy,C-8820,40,SCORED,0.006229412691400153,,
original_hierarchy,C-8820,41,SCORED,0.0007618845112246494,,
original_hierarchy,C-8820,42,SCORED,0.005146976315462925,,
original_hierarchy,C-8820,43,SCORED,0.000510008131337393,,
original_hierarchy,C-8820,44,SCORED,0.006130421603027481,,
original_hierarchy,C-8820,45,SCORED,0.024455790954974868,,
original_hierarchy,C-8820,46,SCORED,0.05645898750240741,,
original_hierarchy,C-8820,47,SCORED,0.00012890916329871566,,
original_hierarchy,C-8820,48,SCORED,3.395826734296954e-05,,
original_hierarchy,C-8820,49,SCORED,0.033456495844161174,,
original_hierarchy,C-8820,50,SCORED,0.011392703447337345,,
original_hierarchy,C-8820,51,SCORED,0.00023489284773843197,,
original_hierarchy,C-8820,52,SCORED,0.0032927726609940054,,
original_hierarchy,C-8820,53,SCORED,0.0021556945862842916,,
original_hierarchy,C-8820,54,SCORED,0.003476174496617912,,
original_hierarchy,C-8820,55,SCORED,0.005932065170726322,,
original_hierarchy,C-8820,56,SCORED,0.004433649073072726,,
original_hierarchy,C-8820,57,SCORED,0.00037684859909899344,,
original_hierarchy,C-8820,58,SCORED,0.0016038497905289627,,
original_hierarchy,C-8820,59,SCORED,0.006013582962555421,,
original_hierarchy,C-8820,60,SCORED,0.0003192645634182388,,
original_hierarchy,C-8820,61,SCORED,0.00014359477156994024,,
original_hierarchy,C-8820,62,SCORED,0.005651834619396591,,
original_hierarchy,C-8820,63,SCORED,0.008021503176049653,,
original_hierarchy,C-8820,64,SCORED,9.748854957628613e-05,,
original_hierarchy,C-8820,65,SCORED,0.0038053327546843964,,
original_hierarchy,C-8820,66,SCORED,0.0023488448818089584,,
original_hierarchy,C-8820,67,SCORED,0.03720391401430702,,
original_hierarchy,C-8820,68,SCORED,0.0003745347899124906,,
original_hierarchy,C-8820,69,SCORED,0.0035482696208382694,,
original_hierarchy,C-8820,70,SCORED,0.0009389766542354707,,
original_hierarchy,C-8820,71,SCORED,0.00034293108732392184,,
original_hierarchy,C-8820,72,SCORED,0.05035498165313218,,
original_hierarchy,C-8820,73,SCORED,0.009016453773851366,,
original_hierarchy,C-8820,74,SCORED,5.30987118572046e-07,,
original_hierarchy,C-8820,75,SCORED,1.604926114989161e-05,,
original_hierarchy,C-8820,76,SCORED,0.01900626707163957,,
original_hierarchy,C-8820,77,SCORED,0.03544000258584133,,
original_hierarchy,C-8820,78,SCORED,0.00015782197294737354,,
original_hierarchy,C-8820,79,SCORED,0.006794202196969662,,
original_hierarchy,C-8820,80,SCORED,0.02080396356219777,,
original_hierarchy,C-8821,0,SCORED,0.00032788840922287014,,
original_hierarchy,C-8821,1,SCORED,0.0017135056395212213,,
original_hierarchy,C-8821,2,SCORED,0.00017438339159630504,,
original_hierarchy,C-8821,3,SCORED,0.00044173118861114136,,
original_hierarchy,C-8821,4,SCORED,0.00810421242524759,,
original_hierarchy,C-8821,5,SCORED,0.006405320748159717,,
original_hierarchy,C-8821,6,SCORED,3.265035060128266e-08,,
original_hierarchy,C-8821,7,SCORED,0.0006316232900370217,,
original_hierarchy,C-8821,8,SCORED,2.1821988082138563e-08,,
original_hierarchy,C-8821,9,SCORED,0.04214753449587172,,
original_hierarchy,C-8821,10,SCORED,4.9297921901634905e-06,,
original_hierarchy,C-8821,11,SCORED,0.001394731051174148,,
original_hierarchy,C-8821,12,SCORED,0.009814385214453665,,
original_hierarchy,C-8821,13,SCORED,0.004691008060780287,,
original_hierarchy,C-8821,14,SCORED,0.010334746632813044,,
original_hierarchy,C-8821,15,SCORED,0.00028191174280189045,,
original_hierarchy,C-8821,16,SCORED,3.219124782327188e-05,,
original_hierarchy,C-8821,17,SCORED,0.005240935009999864,,
original_hierarchy,C-8821,18,SCORED,0.004004707457612354,,
original_hierarchy,C-8821,19,SCORED,4.051767481035788e-06,,
original_hierarchy,C-8821,20,SCORED,0.00248100455528813,,
original_hierarchy,C-8821,21,SCORED,0.00023062709988438956,,
original_hierarchy,C-8821,22,SCORED,0.00305686882946426,,
original_hierarchy,C-8821,23,SCORED,0.00013712140346524258,,
original_hierarchy,C-8821,24,SCORED,0.0018159707047245722,,
original_hierarchy,C-8821,25,SCORED,0.0002829164506895259,,
original_hierarchy,C-8821,26,SCORED,0.030005308660758317,,
original_hierarchy,C-8821,27,SCORED,0.00011111476592931525,,
original_hierarchy,C-8821,28,SCORED,0.006612841583554128,,
original_hierarchy,C-8821,29,SCORED,0.005348178348696799,,
original_hierarchy,C-8821,30,SCORED,0.0036601079342030475,,
original_hierarchy,C-8821,31,SCORED,0.004847943314080788,,
original_hierarchy,C-8821,32,SCORED,0.012995731881990807,,
original_hierarchy,C-8821,33,SCORED,0.0006324707235046108,,
original_hierarchy,C-8821,34,SCORED,0.007351003774693596,,
original_hierarchy,C-8821,35,SCORED,0.0014494707026871346,,
original_hierarchy,C-8821,36,SCORED,8.220272691620255e-05,,
original_hierarchy,C-8821,37,SCORED,3.238510110236981e-07,,
original_hierarchy,C-8821,38,SCORED,0.0009921882116932105,,
original_hierarchy,C-8821,39,SCORED,0.00028071741837930623,,
original_hierarchy,C-8821,40,SCORED,0.0007779307745627998,,
original_hierarchy,C-8821,41,SCORED,0.0024666606075113254,,
original_hierarchy,C-8821,42,SCORED,0.0003942727580989822,,
original_hierarchy,C-8821,43,SCORED,0.0001975816541260958,,
original_hierarchy,C-8821,44,SCORED,0.005966814945716265,,
original_hierarchy,C-8821,45,SCORED,0.01428516859447164,,
original_hierarchy,C-8821,46,SCORED,0.033908678458823505,,
original_hierarchy,C-8821,47,SCORED,5.436171343795536e-07,,
original_hierarchy,C-8821,48,SCORED,9.133780560064211e-06,,
original_hierarchy,C-8821,49,SCORED,0.013372374690180003,,
original_hierarchy,C-8821,50,SCORED,0.008596779934898647,,
original_hierarchy,C-8821,51,SCORED,0.0023689686292605594,,
original_hierarchy,C-8821,52,SCORED,3.0278286937644987e-05,,
original_hierarchy,C-8821,53,SCORED,0.015316350685409617,,
original_hierarchy,C-8821,54,SCORED,0.003960832745805276,,
original_hierarchy,C-8821,55,SCORED,0.016601651866546455,,
original_hierarchy,C-8821,56,SCORED,0.0008577449973544843,,
original_hierarchy,C-8821,57,SCORED,0.0009695201521627197,,
original_hierarchy,C-8821,58,SCORED,3.1073805874953526e-05,,
original_hierarchy,C-8821,59,SCORED,4.001889744954107e-05,,
original_hierarchy,C-8821,60,SCORED,0.001379123046141982,,
