scenario	heterogeneity_sd	recipient_margin_shift	method	method_class	successful_replicates	failed_replicates	field_rmse_mean	field_rmse_ci_low	field_rmse_ci_high	recipient_deviance_mean	recipient_deviance_ci_low	recipient_deviance_ci_high	deviance_difference_hierarchical_minus_method	deviance_difference_ci_low	deviance_difference_ci_high	relative_deviance_reduction_hierarchical_vs_method	relative_deviance_reduction_ci_low	relative_deviance_reduction_ci_high	hierarchical_favorable_replicates
heterogeneous_same_margins	1.2	false	hierarchical_exact	exact_conditional	128	0	0.330888200275153	0.32100014554682793	0.34089448090232316	0.014930599298016373	0.014444413335977506	0.015425720659848305	0.0	0.0	0.0	0.0	0.0	0.0	128
heterogeneous_same_margins	1.2	false	common_effect_exact	exact_conditional	128	0	0.33769591431840373	0.32757769131748954	0.34795476995805125	0.015212178712907755	0.014707809329391443	0.01572821297713227	-0.0002815794148913832	-0.0003354445174695168	-0.00022812295862093625	0.018510130613470732	0.015162755344143746	0.02180181057210284	109
heterogeneous_same_margins	1.2	false	poisson_deviance_raw	classical_residual	128	0				0.015508272967803698	0.014989987075193173	0.01603662082697213	-0.0005776736697873265	-0.0006525939507029135	-0.0005016445528239477	0.03724938753571194	0.03279973187771265	0.04152846128181542	114
heterogeneous_same_margins	1.2	false	poisson_deviance_centered	classical_residual	128	0				0.015508364211219048	0.014989941506200543	0.01603680316095792	-0.000577764913202674	-0.0006527104316994372	-0.000501745770151198	0.03725505187611655	0.03280151423277259	0.04153110491310356	114
heterogeneous_shifted_margins	1.2	true	hierarchical_exact	exact_conditional	128	0	0.330888200275153	0.3207735239106147	0.34086792443805064	0.011591487041402344	0.011293648093438705	0.011895607597583244	0.0	0.0	0.0	0.0	0.0	0.0	128
heterogeneous_shifted_margins	1.2	true	common_effect_exact	exact_conditional	128	0	0.33769591431840373	0.3274219765339477	0.34798273729864265	0.011714288932864856	0.011408806442978375	0.012028300860396447	-0.00012280189146251212	-0.00014865483116127207	-9.716484699165363e-05	0.010483085415281757	0.008360083047587553	0.01258098196254862	102
heterogeneous_shifted_margins	1.2	true	poisson_deviance_raw	classical_residual	128	0				0.03358716815439464	0.03127156722266133	0.03604981718473902	-0.02199568111299229	-0.024383969863216854	-0.019739195373780865	0.6548834665632361	0.6301983660799919	0.6772245506276248	127
heterogeneous_shifted_margins	1.2	true	poisson_deviance_centered	classical_residual	128	0				0.034551684511535063	0.03219359624039117	0.037061985337954975	-0.022960197470132723	-0.025396764930655947	-0.020657568188721862	0.6645174553636441	0.6407136523463328	0.6862509114948235	127
homogeneous_same_margins	0.0	false	hierarchical_exact	exact_conditional	128	0	0.1089616390553654	0.10592688465534894	0.11203844319765395	0.0087523464193576	0.008567439156236109	0.008942562159091923	0.0	0.0	0.0	0.0	0.0	0.0	128
homogeneous_same_margins	0.0	false	common_effect_exact	exact_conditional	128	0	0.10019883996820537	0.09728285172433372	0.10312613810428527	0.008660272376332566	0.008484557207458478	0.008842621960256989	9.207404302503324e-05	5.294802932287197e-05	0.00013105804163817203	-0.01063177219190714	-0.015109434491598761	-0.006144910807991133	39
homogeneous_same_margins	0.0	false	poisson_deviance_raw	classical_residual	128	0				0.008687552262112899	0.008512732454467301	0.008869364736530714	6.479415724470265e-05	1.7871901821660082e-05	0.0001113756106100231	-0.0074582753910181765	-0.012816236406251985	-0.0020574594375732747	47
homogeneous_same_margins	0.0	false	poisson_deviance_centered	classical_residual	128	0				0.008687695909054455	0.008512947990481225	0.008869503956789931	6.46505103031449e-05	1.7663736555279686e-05	0.00011123113091035956	-0.007441617545080659	-0.012798639849407161	-0.0020418292825717783	47
homogeneous_shifted_margins	0.0	true	hierarchical_exact	exact_conditional	128	0	0.1089616390553654	0.10586372443306481	0.11202252848865091	0.008674129952666771	0.008503929485335758	0.00884741878532828	0.0	0.0	0.0	0.0	0.0	0.0	128
homogeneous_shifted_margins	0.0	true	common_effect_exact	exact_conditional	128	0	0.10019883996820537	0.0972577295570303	0.10314139696418463	0.008639717779830497	0.008472058406232282	0.008810892129994956	3.441217283627471e-05	1.1017695735639994e-05	5.7925742795241736e-05	-0.0039830204774291555	-0.00669406852456948	-0.0012794000650992513	45
homogeneous_shifted_margins	0.0	true	poisson_deviance_raw	classical_residual	128	0				0.029427307411423617	0.0283151126149555	0.030545705730661735	-0.020753177458756846	-0.021883491163735475	-0.019625652264910382	0.7052353505744297	0.6920581654952896	0.7173878240075907	128
homogeneous_shifted_margins	0.0	true	poisson_deviance_centered	classical_residual	128	0				0.02972959331305637	0.028637964320678166	0.03082348879920044	-0.0210554633603896	-0.022156144318944932	-0.019955637161117756	0.7082324718899755	0.6956770665252593	0.7198099268841424	128
